S#,SNAME,SEX,BDATE,HEIGHT,DORM
2217696315,杨磊,男,2000-11-14,1.7,西19舍321
2199824087,黄英,男,2003-10-22,1.55,西21舍111
2206783243,王建,男,2001-01-20,1.91,东17舍908
2220668917,喻荣,男,1999-12-25,1.66,东6舍613
2210800450,高玉华,男,2004-04-21,1.68,东4舍204
2229324181,潘晨,男,2000-12-05,1.54,西4舍825
2193766153,谭玲,女,2003-12-09,1.77,西16舍121
2201828617,何玉珍,男,2003-08-05,1.72,东5舍720
2209038065,贾海燕,女,2003-05-20,1.57,东5舍725
2214596753,庄畅,男,2001-06-30,1.54,东22舍326
2204620964,姚艳,男,2001-01-07,1.59,东4舍930
2228641649,梁静,女,2002-05-22,1.62,西22舍106
2206385943,符琳,男,2000-04-24,1.65,东2舍514
2213879474,邓俊,女,2003-12-27,1.64,西3舍326
2214336414,范海燕,男,2002-07-18,1.68,东10舍411
2217454549,黄阳,女,2001-02-06,1.7,西18舍620
2219133250,马亮,男,2006-12-18,1.72,东11舍816
2205837979,王龙,女,1999-11-25,1.78,西5舍612
2214447592,陈阳,男,2000-04-20,1.78,东22舍212
2200615569,赵秀珍,女,2001-09-10,1.59,东21舍206
2211420057,魏平,女,2001-08-08,1.61,东9舍727
2197338799,侯凯,女,2006-07-11,1.62,东10舍721
2193829511,杨娟,女,2004-07-10,1.72,西3舍301
2206867288,王东,女,2000-03-27,1.72,西15舍525
2228353685,萧淑英,男,2000-07-30,1.62,西2舍814
2197152987,关亮,男,2002-02-01,1.71,东22舍103
2197965206,阎慧,男,2007-05-27,1.56,西17舍105
2207143652,梁颖,女,2003-03-11,1.61,西18舍703
2214189715,柯博,男,2006-01-10,1.53,东10舍919
2214131046,赵飞,男,1999-08-05,1.61,东15舍603
2201334110,黄宇,女,2002-11-07,1.62,东3舍718
2199768460,袁淑英,男,2002-10-22,1.69,西7舍713
2219221193,祁鑫,男,2003-06-03,1.68,东13舍905
2195317742,张洋,女,2003-10-23,1.68,东11舍214
2214059517,钱莹,女,2004-06-27,1.71,东8舍427
2196918129,黄帅,男,2002-02-22,1.6,西15舍318
2194196994,王雪,女,2005-09-02,1.56,东8舍818
2208849826,彭丽,男,2000-06-04,1.68,东1舍111
2220930522,刘红,女,2003-09-30,1.6,东16舍416
2200703184,康丽华,男,2003-05-10,1.59,西11舍926
2216233092,张强,男,1999-09-23,1.53,西7舍928
2220943428,薛凤兰,男,2007-05-22,1.83,东18舍410
2223989016,石春梅,男,2007-02-18,1.69,东22舍812
2204630254,尚云,女,2001-09-16,1.6,东21舍908
2199700681,赵倩,女,2006-05-07,1.66,西16舍619
2210299384,刘桂珍,男,2004-09-26,1.66,东10舍714
2209382874,史丹,男,2001-07-11,1.58,东19舍920
2202723131,温丹,男,2006-12-23,1.79,西19舍506
2190016582,李秀荣,女,2007-02-17,1.51,东10舍403
2196097455,吕丽华,男,2005-08-14,1.64,东3舍220
2205219318,宋红,女,2001-10-13,1.46,东9舍729
2217519503,汪鹏,男,2005-03-27,1.87,西4舍415
2228143063,吴刚,男,2004-03-01,1.66,东13舍216
2206373969,黄利,男,2003-07-17,1.94,西1舍422
2228520389,张雪梅,女,2000-12-17,1.35,东9舍619
2191851808,高成,男,2005-07-13,1.51,东15舍117
2200951261,郭金凤,男,2003-06-05,1.82,西3舍725
2203046300,金燕,女,2005-08-27,1.5,东4舍902
2214782305,耿秀珍,女,2004-10-19,1.65,东4舍621
2195253259,费桂荣,男,2006-05-02,1.61,西20舍302
2223499752,苏文,女,2000-09-30,1.5,西19舍405
2205717587,蒋兵,男,2003-03-20,1.71,西5舍209
2211111813,江秀华,男,2003-11-11,1.51,东2舍708
2217903773,董娜,女,2005-08-24,1.53,西18舍609
2194079591,王志强,女,2001-08-18,1.66,东6舍403
2201196809,刘亮,男,2003-01-28,1.91,西5舍711
2225383235,凌健,男,2000-03-16,1.74,西22舍123
2208714035,王旭,男,2004-06-01,1.78,东8舍113
2209192629,马博,男,2004-11-07,1.53,东13舍326
2198991374,孙波,男,2002-01-25,1.72,西2舍220
2226631751,刘娜,男,2006-03-09,1.8,东9舍502
2204794925,潘华,女,1999-12-19,1.66,西17舍425
2210605961,王秀云,男,2001-03-03,1.81,西16舍917
2224657791,郑慧,男,2006-05-03,1.57,西11舍626
2225971154,龙婷,女,2004-05-08,1.55,西12舍314
2192706358,李秀珍,男,2000-12-30,1.85,西16舍724
2203736379,刘杨,女,2002-01-13,1.69,西6舍919
2191509093,雷欢,女,2002-12-06,1.59,西21舍717
2191326712,曾兰英,女,2002-08-02,1.6,西21舍915
2203089649,朱桂兰,女,2006-01-28,1.53,东2舍913
2226100053,毕雪,女,2001-10-30,1.49,东15舍713
2226269998,林建平,男,1999-11-08,1.62,西21舍819
2196926265,陈伟,男,2006-05-26,1.72,东5舍301
2202822474,胥刚,男,2002-11-14,1.78,东18舍427
2224664826,李云,男,2007-02-11,1.72,西9舍607
2219497046,李杨,男,2006-07-07,1.74,东10舍112
2191209721,王东,女,2004-10-20,1.58,西16舍524
2214432727,周春梅,女,2006-12-20,1.66,东10舍905
2193007902,魏雪,男,1999-11-02,1.73,西20舍318
2202113592,刘旭,女,2006-04-09,1.58,东13舍827
2195745228,吴玉珍,男,2005-03-03,1.61,东9舍125
2210746414,杜淑华,男,2006-01-12,1.7,西14舍803
2190621431,高阳,男,2002-10-06,1.68,东9舍625
2206777101,阎敏,男,2002-05-05,1.71,东3舍614
2208614950,徐强,女,2001-03-27,1.66,西6舍201
2222117618,刘淑华,男,2005-11-06,1.68,西6舍528
2204311293,唐建国,男,2001-07-28,1.63,西8舍205
2217075137,蒙建军,女,2003-08-02,1.73,东12舍812
2198488328,吴坤,女,2002-10-25,1.63,西19舍920
2206933644,韦雪,男,1999-10-13,1.65,东8舍308
2202563001,郭淑兰,男,2005-09-21,1.83,东14舍815
2203591867,唐超,男,2004-09-14,1.68,东21舍530
2207399389,王飞,男,2005-12-04,1.68,西16舍809
2191924733,覃玉华,男,2000-03-10,1.7,西17舍825
2222438746,张兰英,男,2002-07-08,1.81,西15舍121
2190722933,李林,男,2005-09-06,1.73,西17舍815
2192113485,魏军,女,2002-11-16,1.51,东16舍429
2216767166,高强,男,1999-12-06,1.94,东11舍721
2208966809,高鑫,男,2006-07-21,1.67,东18舍216
2202873191,冯畅,男,2003-12-06,1.6,西17舍412
2195503533,宋洁,女,2005-09-16,1.65,西2舍109
2213064681,陈建平,女,2003-02-20,1.53,东3舍821
2213919426,苗平,男,2005-09-10,1.61,东4舍529
2218541554,时荣,男,2002-07-22,1.69,东16舍727
2195499969,邓亮,男,2005-11-03,1.82,西13舍816
2191463289,曹燕,女,2003-02-13,1.51,东18舍729
2220638808,姜飞,女,2003-08-19,1.68,西22舍614
2195438182,江秀兰,男,2003-09-17,1.81,东2舍513
2216435374,时波,女,2004-08-10,1.49,西17舍402
2208635821,朱芳,男,2003-07-15,1.58,东7舍608
2209683970,赵丽丽,女,2003-07-10,1.54,东22舍226
2223491173,张玉梅,男,2005-12-27,1.7,东1舍526
2192591695,陈凤英,女,2007-01-14,1.72,东13舍527
2201525548,张丹,女,2005-03-04,1.5,东5舍421
2200078839,赵桂荣,男,2006-01-20,1.81,东10舍416
2226750266,陈淑兰,女,1999-11-16,1.6,东9舍304
2207530571,彭玲,男,2006-07-29,1.78,东4舍125
2214607052,王艳,女,1999-09-01,1.66,西22舍416
2218216710,韦婷婷,女,2004-04-12,1.57,西12舍913
2192277868,安佳,女,2002-09-05,1.55,西3舍420
2191389553,程荣,女,2003-02-16,1.43,西2舍320
2226871170,薛阳,女,2002-07-10,1.64,东11舍105
2220641873,郭瑜,女,2004-04-09,1.71,东12舍812
2218157728,张兰英,女,2005-02-27,1.59,东5舍625
2209531411,张娟,男,2001-04-30,1.59,东11舍901
2194031450,刘阳,男,2000-11-28,1.55,东15舍421
2216653997,方军,女,2002-04-06,1.68,西10舍506
2201486203,吴冬梅,男,2005-01-17,1.71,东8舍729
2200191268,李健,女,2001-06-15,1.55,西16舍226
2206502036,徐丹,男,2002-10-21,1.61,东10舍611
2224136108,宋利,男,2006-12-03,1.58,东22舍713
2217836392,刘亮,女,2000-09-14,1.67,东12舍809
2216045347,黄兰英,女,2003-04-25,1.75,西8舍708
2215675047,王杨,女,2000-08-09,1.56,东11舍714
2191293715,李英,女,1999-07-27,1.47,西21舍702
2200453532,谢桂花,女,2004-02-02,1.49,东10舍213
2215718076,张志强,女,2001-09-18,1.59,东7舍106
2211943752,左秀兰,女,2002-07-27,1.6,西19舍304
2191190661,瞿桂芳,男,1999-09-05,1.77,西15舍405
2191541588,万伟,男,2004-12-31,1.69,东7舍202
2226416330,王勇,男,2007-03-14,1.66,东7舍124
2217174080,薛畅,女,2003-06-15,1.6,西3舍808
2207711761,陆洋,女,2000-10-08,1.66,东13舍913
2229446679,张彬,男,2005-06-04,1.71,东2舍113
2222127061,宋娜,女,2007-05-26,1.41,西5舍530
2211810901,胡婷婷,男,2003-12-13,1.65,西13舍824
2224262036,卞玉梅,男,2000-01-23,1.51,东4舍714
2199791571,陈宇,男,2002-04-15,1.87,东13舍308
2226321386,罗秀云,男,2000-08-11,1.49,西16舍130
2215611146,汪龙,女,2000-11-15,1.45,西4舍116
2228405374,叶帅,女,1999-10-02,1.33,东1舍303
2222733375,曾凤兰,男,2001-06-02,1.82,西16舍712
2196436806,商成,女,2006-01-19,1.76,东19舍419
2200463523,曹成,男,2006-06-23,1.85,西22舍710
2224666294,张涛,男,2006-11-25,1.68,东2舍916
2218326382,赵华,女,2002-06-07,1.61,西7舍417
2206590248,宋兵,男,2006-06-06,1.58,东5舍810
2222492609,张磊,男,2000-04-17,1.92,西18舍901
2212849335,张建,女,2001-09-28,1.64,东3舍430
2215442290,龙玉英,男,2000-12-11,1.71,西13舍803
2196099559,刘玉英,女,1999-10-12,1.68,东12舍225
2207614670,李丽丽,男,2003-02-16,1.58,东4舍106
2209751985,郭建平,女,2005-10-26,1.47,东21舍913
2203066692,康建,女,2005-09-06,1.48,西4舍817
2205424684,郭莉,女,2003-06-25,1.61,西13舍214
2218235370,钟丹丹,女,2001-09-07,1.64,东2舍614
2202640744,戴云,女,2003-08-05,1.73,西19舍901
2194219924,马洁,女,2002-07-20,1.76,东6舍730
2202020641,郭龙,男,2006-12-24,1.68,东2舍525
2194340282,杨桂芝,女,2002-01-05,1.75,东11舍523
2208100010,钟红梅,男,1999-10-07,1.63,东3舍919
2222573131,黎玉兰,男,1999-10-01,1.61,东14舍110
2229762838,斯雷,女,2000-07-28,1.4,西15舍204
2212133606,郑建,女,2001-09-07,1.6,东21舍622
2224935167,陈楠,女,2004-07-27,1.52,西6舍314
2227882640,刘雪,女,2000-06-07,1.57,东6舍626
2217983788,顾霞,男,2001-04-04,1.83,西2舍311
2205945983,朱博,女,2000-09-12,1.66,西8舍217
2226251701,岳英,女,2003-01-22,1.34,西7舍907
2199639232,陈军,女,2006-12-11,1.7,西17舍419
2228141307,李桂花,女,2004-03-15,1.68,西2舍306
2226881656,王林,男,2006-10-09,1.68,东12舍512
2222680999,陈丽娟,男,2002-01-10,1.81,西4舍113
2191704567,林勇,女,2000-01-11,1.55,东8舍615
2225329083,聂静,男,2007-03-16,1.76,东19舍711
2190588055,程岩,女,2004-04-25,1.6,东16舍415
2201361943,李娜,男,2004-07-15,1.63,东9舍406
2221994700,张亮,女,1999-12-26,1.5,西4舍728
2201695381,黄荣,女,1999-10-29,1.42,东1舍415
2205764388,夏建平,女,2007-05-21,1.4,东10舍413
2225426804,李桂芝,女,2001-05-23,1.69,西3舍116
2195510026,孙玉,男,2004-11-01,1.81,西5舍305
2193830822,朱琴,女,2001-05-22,1.58,东3舍210
2209402850,王淑珍,女,2006-02-25,1.69,东2舍724
2222446921,李秀兰,男,2001-06-01,1.63,东2舍726
2212204105,沙淑珍,男,2001-09-09,1.59,西4舍716
2199063100,金建国,女,2000-01-27,1.46,东3舍103
2217038058,张文,男,2003-01-15,1.52,西18舍817
2200631916,林丹丹,男,2000-02-07,1.68,东20舍804
2205414446,李淑珍,女,2002-11-15,1.58,西13舍226
2217280049,刘俊,男,2005-04-13,1.68,西19舍629
2200368584,罗雪梅,男,2000-09-10,1.63,东7舍126
2195370099,黄文,男,1999-07-23,1.66,西12舍523
2212521816,郭楠,女,2007-05-09,1.69,西4舍916
2209876702,许桂兰,女,2003-01-12,1.53,西5舍717
2228580158,尹洁,男,2000-07-23,1.48,西12舍314
2227461806,宁秀英,男,2007-03-25,1.82,西3舍927
2210900522,傅峰,女,2006-02-17,1.46,东16舍617
2229282141,鲁想,男,2005-03-08,1.67,东18舍205
2204383520,王丽丽,男,2006-07-26,1.82,东15舍204
2202049184,杨建国,女,2001-01-03,1.66,西13舍914
2220710563,李玉华,男,2005-06-01,1.69,西14舍229
2227168895,叶帅,女,2006-04-19,1.65,东11舍222
2214156097,赖健,女,2002-03-17,1.64,东13舍423
2217801417,张佳,男,1999-10-26,1.64,东21舍825
2211287274,蔡丽,女,2007-04-14,1.55,西1舍523
2212835717,郝东,男,2006-09-01,1.78,东21舍217
2212797569,梁秀兰,女,2000-12-11,1.7,西5舍824
2201401381,王颖,男,2004-07-31,1.65,东20舍308
2226620519,蔡楠,女,2006-06-06,1.57,西19舍506
2211673107,孙磊,女,2004-08-15,1.5,西11舍303
2205553220,吕冬梅,男,2005-03-08,1.69,东17舍113
2213226877,侯燕,女,2003-12-30,1.67,东13舍728
2227610985,吴秀芳,女,2006-11-06,1.38,东7舍124
2200850658,马想,男,2005-08-19,1.62,西18舍306
2199336488,程岩,女,2001-12-29,1.34,东4舍627
2196595179,邓玲,女,2005-07-02,1.53,西22舍228
2206382936,程宁,女,2000-01-21,1.66,西8舍523
2199408330,杨阳,男,2000-03-29,1.75,东2舍826
2193155262,张琴,女,2002-08-20,1.5,东11舍319
2192221227,奚欣,女,2005-12-17,1.55,东6舍103
2198926645,刘帆,女,2002-09-13,1.67,东5舍209
2212973601,陈佳,女,2001-03-04,1.53,西11舍624
2198884085,李雪,女,2002-05-11,1.4,西9舍604
2210393542,刘兵,男,2002-05-21,1.77,西10舍712
2194476969,杨利,男,2003-12-05,1.77,东11舍110
2203870575,李玉兰,男,2006-09-30,1.77,西12舍712
2226176092,张秀兰,女,1999-08-24,1.43,东12舍108
2216003419,王佳,女,2006-04-21,1.68,东3舍610
2198112204,沈娜,男,2002-03-28,1.73,东18舍605
2223909617,张磊,男,2000-10-28,1.62,东3舍219
2212033335,林淑华,女,2000-05-18,1.54,西10舍811
2226277554,石彬,男,2004-12-08,1.49,东15舍318
2191175575,韩玉兰,女,1999-11-08,1.76,东11舍310
2199704163,张冬梅,女,1999-07-31,1.58,东4舍422
2218942984,朱丹丹,女,2002-06-27,1.46,西11舍423
2222866748,王建华,女,2000-01-12,1.54,东3舍828
2194145381,张琳,男,2007-03-05,1.61,西17舍518
2191868294,冯婷婷,男,2002-05-25,1.77,西20舍629
2219970134,李春梅,男,2000-03-19,1.76,西18舍202
2215424565,姬伟,女,2000-05-22,1.63,西12舍823
2210809288,袁雪梅,男,2003-01-01,1.62,西21舍103
2200615531,高莉,男,2002-09-25,1.78,东11舍103
2205134526,周丽丽,女,2003-12-13,1.56,东19舍801
2223577145,王雪,女,2005-09-06,1.61,东20舍308
2219126294,辛超,男,2004-11-11,1.68,东11舍107
2197516551,袁东,男,2004-03-08,1.83,东14舍315
2229004557,张晨,女,2006-03-27,1.5,西14舍609
2194432882,陈超,女,2000-11-09,1.66,西12舍930
2216152786,王英,男,2004-12-18,1.68,西5舍906
2205995655,常玉华,女,2006-12-23,1.53,东4舍827
2203904353,陈伟,男,2007-01-22,1.8,东13舍917
2195877350,马浩,女,2000-11-11,1.6,东15舍209
2225134843,李鑫,男,2000-08-13,1.87,东1舍405
2220489244,周林,女,2002-02-13,1.41,西3舍427
2193242147,李柳,男,2002-09-11,1.51,东3舍615
2211142036,姚艳,男,2006-05-16,1.84,东5舍318
2222166435,郑秀荣,男,2003-12-28,1.69,西14舍813
2198316471,郝云,女,2004-04-01,1.47,东16舍806
2210038194,王霞,男,1999-10-15,1.67,东16舍122
2191471593,段秀华,男,1999-12-15,1.55,西7舍604
2229784608,张倩,女,2003-10-20,1.46,西22舍228
2215643904,曾凤英,男,2005-04-21,1.57,东22舍917
2208139678,侯旭,男,2004-05-07,1.72,西1舍801
2199741205,曾敏,女,2003-01-04,1.69,西2舍810
2220758155,祝平,女,2004-06-05,1.64,东15舍110
2222365364,金玲,女,2004-11-20,1.72,东5舍403
2224440987,张杨,女,2001-01-26,1.47,西5舍111
2211593574,秦刚,女,2004-07-15,1.55,东8舍914
2215515650,张秀云,男,2004-10-20,1.64,西16舍404
2194129031,孙欣,女,2000-10-11,1.61,东16舍216
2223709542,陆勇,女,2002-09-25,1.67,西9舍701
2229458183,汪洋,男,1999-12-14,1.76,东12舍317
2209534505,张琳,男,2003-02-26,1.8,东9舍809
2207733468,詹伟,女,2004-01-21,1.64,东15舍316
2202097064,张霞,女,2001-07-31,1.53,东13舍208
2220823343,朱欢,男,2004-08-13,1.82,东21舍129
2203651926,黄军,女,2001-10-28,1.87,东7舍613
2226666778,陈桂荣,女,2007-01-09,1.47,东11舍713
2208518817,吕杰,女,2007-02-06,1.48,东7舍120
2222666446,郭淑华,女,2000-12-11,1.44,东22舍713
2196931799,张雪梅,男,2006-09-06,1.57,东22舍513
2227105083,曹瑜,男,2003-11-22,1.6,东14舍522
2202465041,朱芳,女,2006-12-05,1.44,东12舍730
2225999373,陈建华,女,2001-10-11,1.64,西22舍701
2228350239,王小红,女,2002-02-24,1.76,东17舍903
2218052084,曹亮,女,2001-02-11,1.66,西19舍208
2211164932,文洁,男,2006-12-13,1.69,西4舍505
2225022861,陈秀珍,女,2000-12-03,1.62,东7舍205
2204047307,赵楠,女,2006-05-28,1.42,西19舍307
2224494126,葛峰,女,2002-08-13,1.58,东12舍702
2193954850,王成,女,2002-03-20,1.4,西11舍829
2192479049,刘丽华,女,2005-12-31,1.47,西7舍401
2220076667,李玉,女,2003-11-12,1.67,西2舍927
2207071853,成林,女,2006-03-03,1.67,西12舍204
2198578647,万伟,男,2005-04-22,1.7,西3舍128
2216441979,马秀英,男,2006-07-16,1.65,西10舍425
2207767427,吴健,男,2003-01-17,1.48,西5舍219
2199417514,宁建国,男,2000-05-04,1.62,东21舍923
2211493138,李帅,男,2004-12-30,1.8,西3舍726
2222639265,魏雪,女,2000-05-27,1.51,西2舍121
2190745746,薛凯,女,2005-01-22,1.6,东13舍414
2201888503,杨玉华,男,2004-01-15,1.62,东8舍706
2227180050,胡敏,女,2006-09-13,1.69,东22舍117
2203295939,崔欢,女,2003-10-25,1.53,西15舍319
2196529404,潘慧,男,2000-10-25,1.57,西12舍123
2218265532,王博,女,2004-05-20,1.7,西13舍704
2201917640,徐龙,女,2006-11-20,1.49,西17舍126
2192517891,孔玉珍,男,2000-08-10,1.72,东16舍406
2219150491,李杰,女,2002-01-10,1.68,西22舍520
2195365375,邵龙,女,2006-10-24,1.72,东11舍209
2213699257,廖东,女,2003-05-25,1.57,东2舍609
2228384417,张刚,男,2000-09-28,1.73,西20舍523
2209033864,傅丽娟,男,2005-09-16,1.68,东20舍328
